ID,Name,Rank,Previous Rank,Edition,Start Date,End Date,Organization,City,Vendors,CPU Count,GPU Count,COP Count,Node Count,RAM per Node,Rmax,Rpeak,Nmax,Benchmark,Measure,CPU Info,GPU Info,COP Info,Communication Network,Service Network,Transport Network,Application Area,Operating System,Other DB Attributes,Other Dictionary Attributes
4568,Ломоносов-2,1,1,Top50 position (#29),2018-01-01,,Московский государственный университет имени М.В.Ломоносова,Москва,Т‑Платформы,1696,1856,0,1696,64.0,2478000000.0,4946790000,,Linpack,МФлоп/с,1536x Intel Xeon E5-2697v3 (14 cores) / 160x Intel Xeon Gold 6126 (12 cores),1536x NVIDIA Tesla K40M (15 cores) / 320x NVIDIA Tesla P100 (56 cores),"",FDR Infiniband,Gigabit Ethernet,FDR Infiniband,Наука и образование,н/д,Rpeak (МФлоп/с): 4946790000,Семейство коммуникационной сети: InfiniBand | Топология: Flattened Butterfly | Транспортная сеть: FDR Infiniband | Сервисная сеть: Gigabit Ethernet | Коммуникационная сеть: FDR Infiniband | ОС: CentOS 7 | Область применения: Наука и образование
4574,,2,2,Top50 position (#29),2018-01-01,,ФГБУ 'ГВЦ Росгидромета',Москва,"Т‑Платформы, Cray",1952,0,0,976,128.0,1200350000.0,1293004000,3170112,Linpack,МФлоп/с,1952x Intel Xeon E5-2697v4 (18 cores),"","",Aries,Aries + Gigabit Ethernet,Aries + Infiniband,Исследования,н/д,Rpeak (МФлоп/с): 1293004000,Транспортная сеть: Aries + Infiniband | Сервисная сеть: Aries + Gigabit Ethernet | Коммуникационная сеть: Aries | ОС: SLESCLE | Область применения: Исследования
476,Ломоносов,3,3,Top50 position (#29),2012-01-01,2020-06-05,Московский государственный университет имени М.В.Ломоносова,Москва,Т‑Платформы,12406,2130,0,6199,12.0,901900000.0,1700209000.0,2142719,Linpack,МФлоп/с,8320x Intel Xeon X5570 (4 cores) / 520x Intel Xeon X5570 (4 cores) / 1280x Intel Xeon X5670 (6 cores) / 80x Intel Xeon X5670 (6 cores) / 60x IBM PowerXCell 8i (9 cores) / 1554x Intel Xeon E5630 (4 cores) / 576x Intel Xeon E5630 (4 cores) / 16x Intel Xeon X7560 (8 cores),1554x NVIDIA Tesla X2070 (16 cores) / 576x NVIDIA Tesla X2070 (16 cores),"",QDR Infiniband,Gigabit Ethernet,Gigabit Ethernet,Исследования,н/д,Количество ядер: 82468 | Количество CPU: 12422 | Rpeak (МФлоп/с): 1700209000.0,Топология: FatTree | Семейство коммуникационной сети: InfiniBand | ОС: Clustrx | Коммуникационная сеть: QDR Infiniband | Транспортная сеть: Gigabit Ethernet | Область применения: Исследования | Сервисная сеть: Gigabit Ethernet
4556,"",4,4,Top50 position (#29),2018-04-03,2023-03-24,"НИЦ ""Курчатовский институт""",Москва,"SuperMicro, Борлас, НИЦ ""Курчатовский Институт"", Т‑Платформы",1070,365,0,535,128.0,755530000.0,1100550000,2715185,Linpack,МФлоп/с,296x Intel Xeon E5-2650v2 (8 cores) / 46x Intel Xeon E5-2680v3 (12 cores) / 728x Intel Xeon E5-2680v3 (12 cores),296x NVIDIA Tesla K80 (26 cores) / 69x NVIDIA Tesla K80 (26 cores),"",FDR Infiniband,Gigabit Ethernet,Gigabit Ethernet,Наука и образование,н/д,Rpeak (МФлоп/с): 1100550000,Семейство коммуникационной сети: InfiniBand | Транспортная сеть: Gigabit Ethernet | Сервисная сеть: Gigabit Ethernet | Коммуникационная сеть: FDR Infiniband | ОС: CentOS | Область применения: Наука и образование
4228,Политехник - РСК Торнадо,5,5,Top50 position (#29),2017-04-04,2020-03-30,Суперкомпьютерный центр,Санкт-Петербург,Группа компаний РСК,1468,128,0,734,64.0,715936000.0,1015100000,2248704,Linpack,МФлоп/с,1246x Intel Xeon E5-2697v3 (14 cores) / 112x Intel Xeon E5-2697v3 (14 cores) / 72x Intel Xeon E5-2697v3 (14 cores) / 16x Intel Xeon E5-2697v3 (14 cores) / 16x Intel Xeon E5-2697v3 (14 cores) / 6x Intel Xeon E5-2697v3 (14 cores),112x NVIDIA Tesla K40 (15 cores) / 8x NVIDIA K1 (4 cores) / 8x NVIDIA K2 (16 cores),"",FDR Infiniband,Gigabit Ethernet,Gigabit Ethernet,Исследования,н/д,Количество ядер: 20552 | Количество CPU: 1468 | Rpeak (МФлоп/с): 1015100000,Семейство коммуникационной сети: InfiniBand | Сервисная сеть: Gigabit Ethernet | Транспортная сеть: Gigabit Ethernet | Коммуникационная сеть: FDR Infiniband | Область применения: Исследования
5300,ZHORES CDISE Cluster,6,,Top50 position (#29),2018-09-23,,Сколковский Институт Науки и Технологий,Москва,Dell,172,104,0,82,192.0,495900000.0,1011600000,,Linpack,МФлоп/с,88x Intel Xeon Gold 6136 (12 cores) / 52x Intel Xeon Gold 6140 (18 cores) / 8x Intel Xeon Gold 6136 (12 cores) / 4x Intel Xeon Gold 6134 (8 cores) / 16x Intel Xeon Gold 6134 (8 cores) / 4x Intel Xeon Gold 6136 (12 cores),104x NVIDIA Tesla V100 (80 cores),"",EDR Infiniband,10 Gigabit Ethernet,Fast Ethernet,Наука и образование,н/д,Rpeak (МФлоп/с): 1011600000,Семейство коммуникационной сети: InfiniBand | Область применения: Наука и образование | Транспортная сеть: Fast Ethernet | Сервисная сеть: 10 Gigabit Ethernet | Коммуникационная сеть: EDR Infiniband
4217,МВС-10П,7,6,Top50 position (#29),2016-09-26,,Межведомственный суперкомпьютерный центр,Москва,Группа компаний РСК,416,0,416,208,80.0,383212000.0,523830000,1095680,Linpack,МФлоп/с,416x Intel Xeon E5-2690 (8 cores),"",416x Intel Xeon Phi 7110X (61 cores),FDR Infiniband,Fast Ethernet,Gigabit Ethernet,Наука и образование,н/д,Количество ядер: 28704 | Количество CPU: 416 | Rpeak (МФлоп/с): 523830000,Семейство коммуникационной сети: InfiniBand | Сервисная сеть: Fast Ethernet | Транспортная сеть: Gigabit Ethernet | Коммуникационная сеть: FDR Infiniband | Область применения: Наука и образование
511,Лобачевский,8,7,Top50 position (#29),2014-01-01,,Нижегородский государственный университет им. Н.И. Лобачевского,Нижний Новгород,Ниагара Компьютерс,360,430,20,180,65.536,289500000.0,573000000.0,806400,Linpack,МФлоп/с,200x Intel Xeon E5-2660 (8 cores) / 100x Intel Xeon E5-2660 (8 cores) / 20x Intel Xeon E5-2660 (8 cores) / 20x Intel Xeon E5-2660 (8 cores) / 20x Intel Xeon E5-2660 (8 cores),300x NVIDIA Kepler K20X (14 cores) / 100x NVIDIA Fermi 2090 (16 cores) / 30x NVIDIA Fermi 2090 (16 cores),20x Intel Xeon Phi 5110P (60 cores),QDR Infiniband,Gigabit Ethernet,QDR Infiniband,Наука и образование,н/д,Количество ядер: 30760 | Количество CPU: 360 | Rpeak (МФлоп/с): 573000000.0,Семейство коммуникационной сети: InfiniBand | ОС: CentOS 6.4 | Транспортная сеть: QDR Infiniband | Коммуникационная сеть: QDR Infiniband | Область применения: Наука и образование | Сервисная сеть: Gigabit Ethernet
497,РСК Торнадо ЮУрГУ,9,8,Top50 position (#29),2013-01-01,,Южно‑Уральский государственный университет,Челябинск,Группа компаний РСК,768,0,384,384,24.576,288200000.0,473640000.0,980992,Linpack,МФлоп/с,768x Intel Xeon X5680 (6 cores),"",384x Intel Xeon Phi SE10X (61 cores),QDR Infiniband,Gigabit Ethernet,QDR Infiniband,Наука и образование,н/д,Количество ядер: 28032 | Количество CPU: 768 | Rpeak (МФлоп/с): 473640000.0,Семейство коммуникационной сети: InfiniBand | ОС: CentOS 6.2 | Транспортная сеть: QDR Infiniband | Коммуникационная сеть: QDR Infiniband | Сервисная сеть: Gigabit Ethernet | Область применения: Наука и образование
4394,"Суперкомпьютер ""Константинов""",10,9,Top50 position (#29),2017-09-25,,ПИЯФ,Санкт-Петербург,"NP-IT, Ниагара Компьютерс",496,0,0,268,128.0,200438000.0,362378000,1812480,Linpack,МФлоп/с,320x Intel Xeon E5-2680v4 (14 cores) / 40x Intel Xeon Phi 7250 (68 cores) / 60x Intel Xeon E5-2680v4 (14 cores) / 40x Intel Xeon E5-2650v4 (12 cores) / 32x Intel Xeon E5-2680v4 (14 cores) / 4x Intel Xeon E5-2680v4 (14 cores),"","",EDR Infiniband,Gigabit Ethernet,Gigabit Ethernet,Исследования,н/д,Количество ядер: 9024 | Количество CPU: 496 | Rpeak (МФлоп/с): 362378000,Семейство коммуникационной сети: InfiniBand | Транспортная сеть: Gigabit Ethernet | Сервисная сеть: Gigabit Ethernet | Коммуникационная сеть: EDR Infiniband | ОС: CentOS 7.3 | Область применения: Исследования
